0,1,why do people always play clinkz in turbo,NOT
1,1,ez bot,OFF
2,2,pudgE? how you see lf? k pudge you get my report,OFF
3,2,for what,NOT
4,2,wall hack you get my report,OFF
5,2,what,NOT
6,2,good luck,NOT
7,2,ITS FUCKING DUSTS,OFF
8,2,enjoy vac ban,OFF
9,2,g gogu* retart,OFF
10,2,gg,NOT
11,2,gg,NOT
12,2,gg,NOT
13,3,glhf,NOT
14,3,?,NOT
15,3,lag wait la Wtf? cant wait?,NOT
16,3,ur not 9k,NOT
17,3,ur r kid,OFF
18,3,nice for what?,NOT
19,3,?,NOT
20,3,?,NOT
21,3,?,NOT
22,3,),NOT
23,3,GG wp,NOT
24,3,omg,NOT
25,3,GG wp,NOT
26,3,gg wp,NOT
27,3,rubick just shhouting useless,OFF
28,4,come again,NOT
29,4,sss,NOT
30,4,ezz tp ),OFF
31,4,gGG GG izi mid kunka ls GG GG GG GG,OFF
32,4,gg wp,NOT
33,4,gg wp,NOT
34,5,buye :P,NOT
35,5,))_)))),NOT
36,5,WP,NOT
37,5,)),NOT
38,5,my team is 20 mmr all reunited tbh report PA ty,OFF
39,5,gg,NOT
40,6,?,NOT
41,6,?,NOT
42,6,no you pidar da da 10 [g 10 xh xp hp GG WP ?,NOT
43,6,EZ,OFF
44,7,cowards,NOT
45,7,",!,",NOT
46,8,fuck off from me,OFF
47,8,) lol,NOT
48,8,XD? 4X4?,NOT
49,8,:???????,NOT
50,8,if ursa have lvl 1 its will be easy fb,OFF
51,8,?,NOT
52,8,mouse  sry 1 min,NOT
53,8,ty,NOT
54,8,?,NOT
55,8,go use your own shop =),NOT
56,8,) )),NOT
57,8,ez,NOT
58,8,ez,OFF
59,9,why? trade 4 lives for sniper,NOT
60,9,GG,NOT
61,9,ez :)),OFF
62,9,EZ,OFF
63,9,commend nyo es na magaling wag yung es na bobo,NOT
64,9,IMIK ANU,NOT
65,9,46-36,NOT
66,9,parang ES lang hahha,NOT
67,9,HAHAHAHAHAHAHAHA,NOT
68,9,46-36,NOT
69,9,es na bobo puta,NOT
70,9,46-36 haha,NOT
71,9,hahahah,NOT
72,9,jerax bobo ka naman,NOT
73,10,+,NOT
74,11,GG WP,NOT
75,12,Ez mid,OFF
76,12,gg full carry,NOT
77,13,toh hang igt bleh menang?,NOT
78,13,bendi bendi,NOT
79,13,lancau,NOT
80,13,to hang to mem,NOT
81,13,cakap pun tak btoi,NOT
82,13,torma dan loca,NOT
83,13,nak menang lagi,NOT
84,13,lagi torma,NOT
85,13,torma pak ang,NOT
86,13,pak ang lor la,NOT
87,13,ey ki ggt la,NOT
88,13,ggwp,NOT
89,13,gg,NOT
90,14,double 5 ranks GG nice combo tinker ns,NOT
91,14,nais combo,NOT
92,14,sven kontrit pla iil net,NOT
93,14,sven ,NOT
94,14,ty govoril vrode net nu ofc v 6 slotov pl silnee GG,NOT
95,14,gg,NOT
96,15,was afk wtf sf condomn,OFF
97,15,sniper you`re so dam good how can you play with him so good? ohh right click and go gg,NOT
98,16,a net melhoro foi? primeira deu fail,NOT
99,16,gg sk kk,NOT
100,16,comend,NOT
101,16,GG,NOT
102,17,noob team fucking tinker HAHAHA FUCK,OFF
103,17,HAHAHA,NOT
104,17,SAD LA,OFF
105,17,lol,NOT
106,17,HAHAHA,NOT
107,17,dagger in,NOT
108,17,ANU YUN ENIGMA ? HAHAHA,NOT
109,17,OK,NOT
110,17,HAHAHA,NOT
111,17,t,NOT
112,17,HAHAHA,NOT
113,17,WTF haha,NOT
114,17,NO BUYBACK,NOT
115,17,PUSH haha haha,NOT
116,17,ENDNA END NA,OFF
117,17,FUCK UR 1 psuh,OFF
118,17,HAHAHA COME BOT LAST CLASH HAHAHA HERO BB ? SURE NA BA KAYO ? SAD,NOT
119,17,Ez,OFF
120,17,hahah,NOT
121,17,GEGE,NOT
122,17,Gg,NOT
123,17,haha GGWP,NOT
124,17,ez commend mne,OFF
125,17,EZ,OFF
126,17,ez,OFF
127,17,EZ SUPP,OFF
128,18,por la weba predicen quispes,NOT
129,18,LOL ,NOT
130,18,lo,NOT
131,18,que cha pasa,NOT
132,18,Ez,OFF
133,18,.l.,NOT
134,18,gg ,NOT
135,18,for pandariam!!,NOT
136,18,gg,NOT
137,18,PANDA ,NOT
138,18,LOL ,NOT
139,18,eZ MID,OFF
140,18,ezz of,OFF
141,18,wk ctmr,NOT
142,18,ezz,OFF
143,18,te odio,NOT
144,18,SEXO,NOT
145,19,(,NOT
146,19,))),NOT
147,19,lfhje,NOT
148,19,),NOT
149,19,ty lol ybn )),NOT
150,19,),NOT
151,20,te kasna bubacka,NOT
152,20,ggwp,NOT
153,20,gg,NOT
154,21,tOY MOTIVADO RECIEN VI A MI GORDO SMASH chichichiled led led ese mismo que querias hacrr blood mid xd,NOT
155,21,why u let low skill player mid vs me,OFF
156,21,listo,NOT
157,21,Xd,NOT
158,21,XD,NOT
159,21,ez mid,OFF
160,21,::'(,NOT
161,21,comend tide,NOT
162,22,good ult :D,NOT
163,22,finish plz,OFF
164,22,gg wp,NOT
165,22,gg,NOT
166,22,gg,NOT
167,22,gg wp hate you BRUH,OFF
168,23,lycan like why don't  you jungley? im depressed how bout you,NOT
169,23,Lo siento no me puedo concentrar Ando en otra,NOT
170,23,report pango Stole bounty,OFF
171,23,Xd :V ,NOT
172,23,"report pagnolierelri, too many blink report panhandle, too many javilo",OFF
173,23,gg,NOT
174,23,gg,NOT
175,24,&,NOT
176,24,2 times ?,NOT
177,24,fcuking tinker,OFF
178,24,gg wp,NOT
179,24,report sniper p`lz ty,OFF
180,25,fkj],NOT
181,26,lol omg,NOT
182,26,?,NOT
183,26, ),NOT
184,26,GG,NOT
185,26,gg,NOT
186,27,gl,NOT
187,28,?,NOT
188,28,x x XD,NOT
189,28,da pra ganha,NOT
190,28,da foi bom,NOT
